id,date,merchant,category,category_color,account,method,amount_cents,currency,notes
10,2023-07-01,Trader Joe's,Food,#ed7940,High-Yield Savings,ACH Transfer,12538,USD,Split payment
17,2023-07-01,Shell,Transportation,#45b7a4,Amex Platinum,Debit Card,510,USD,Gift for Sam
46,2023-07-01,Airbnb,Travel,#6f7bd6,Everyday Checking,Debit Card,2931,USD,Home office
21,2023-07-02,Metro Transit,Transportation,#45b7a4,Amex Platinum,Debit Card,1912,USD,
26,2023-07-02,Powell's Books,Entertainment,#b07ce8,High-Yield Savings,Credit Card,1384,USD,Date night
28,2023-07-02,Steam,Entertainment,#b07ce8,Amex Platinum,Credit Card,5874,USD,Split payment
13,2023-07-03,Trader Joe's,Food,#ed7940,Sapphire Card,Credit Card,6992,USD,Split payment
7,2023-07-04,Chipotle,Food,#ed7940,High-Yield Savings,Cash,15692,USD,
40,2023-07-04,Best Buy,Shopping,#e0647f,Sapphire Card,Credit Card,22900,USD,Renewal
31,2023-07-05,Comcast,Utilities,#e0b64a,Amex Platinum,Cash,6671,USD,Reimbursed by work
36,2023-07-05,Target,Shopping,#e0647f,Everyday Checking,Credit Card,10244,USD,Split payment
41,2023-07-05,CVS Pharmacy,Healthcare,#58b86a,Sapphire Card,Credit Card,11513,USD,Split payment
3,2023-07-06,Local Farmers Market,Food,#ed7940,Amex Platinum,Credit Card,7376,USD,Reimbursed by work
32,2023-07-06,Comcast,Utilities,#e0b64a,Amex Platinum,ACH Transfer,7673,USD,
16,2023-07-07,Meridian Property Mgmt,Housing,#4f8fdf,Amex Platinum,Cash,192154,USD,Renewal
38,2023-07-09,Uniqlo,Shopping,#e0647f,Amex Platinum,Credit Card,31543,USD,Weekly groceries
9,2023-07-11,Trader Joe's,Food,#ed7940,Sapphire Card,Cash,8701,USD,Gift for Sam
18,2023-07-12,Shell,Transportation,#45b7a4,Everyday Checking,ACH Transfer,4567,USD,Split payment
34,2023-07-12,Comcast,Utilities,#e0b64a,Sapphire Card,ACH Transfer,6778,USD,Weekly groceries
5,2023-07-14,Trader Joe's,Food,#ed7940,Sapphire Card,Credit Card,813,USD,Split payment
25,2023-07-14,Netflix,Entertainment,#b07ce8,Amex Platinum,Debit Card,5971,USD,Split with Maya
42,2023-07-14,Optical Center,Healthcare,#58b86a,Sapphire Card,Debit Card,10169,USD,Home office
43,2023-07-14,CVS Pharmacy,Healthcare,#58b86a,Amex Platinum,Debit Card,6028,USD,
2,2023-07-15,Chipotle,Food,#ed7940,Sapphire Card,Debit Card,1009,USD,Split payment
6,2023-07-15,Seamless,Food,#ed7940,Everyday Checking,Cash,3574,USD,Gift for Sam
23,2023-07-16,Shell,Transportation,#45b7a4,Everyday Checking,ACH Transfer,1795,USD,
35,2023-07-16,Best Buy,Shopping,#e0647f,High-Yield Savings,Debit Card,28101,USD,Split payment
49,2023-07-16,Marriott,Travel,#6f7bd6,Sapphire Card,ACH Transfer,2656,USD,Monthly subscription
8,2023-07-17,Blue Bottle Coffee,Food,#ed7940,Sapphire Card,ACH Transfer,7492,USD,Gift for Sam
47,2023-07-17,Airport Parking,Travel,#6f7bd6,Amex Platinum,Debit Card,9132,USD,Reimbursed by work
12,2023-07-18,Corner Deli,Food,#ed7940,Amex Platinum,Cash,1178,USD,Gift for Sam
15,2023-07-18,Harbor Rentals,Housing,#4f8fdf,Everyday Checking,Cash,166306,USD,Split with Maya
48,2023-07-18,Hertz,Travel,#6f7bd6,Everyday Checking,Credit Card,5777,USD,Split with Maya
20,2023-07-19,Uber,Transportation,#45b7a4,High-Yield Savings,ACH Transfer,3508,USD,Renewal
14,2023-07-20,Levain Bakery,Food,#ed7940,Sapphire Card,Credit Card,864,USD,Split payment
27,2023-07-21,Spotify,Entertainment,#b07ce8,Everyday Checking,Credit Card,5257,USD,Gift for Sam
50,2023-07-21,Amtrak,Travel,#6f7bd6,High-Yield Savings,Debit Card,5410,USD,Split payment
1,2023-07-22,Shake Shack,Food,#ed7940,Amex Platinum,Credit Card,6921,USD,Weekly groceries
29,2023-07-22,Live Nation,Entertainment,#b07ce8,Everyday Checking,ACH Transfer,5533,USD,
39,2023-07-22,Best Buy,Shopping,#e0647f,Sapphire Card,Cash,1771,USD,Family visit
4,2023-07-23,Chipotle,Food,#ed7940,Sapphire Card,Debit Card,1193,USD,Split payment
24,2023-07-24,ParkMobile,Transportation,#45b7a4,Amex Platinum,Debit Card,579,USD,Split with Maya
22,2023-07-25,Shell,Transportation,#45b7a4,Everyday Checking,ACH Transfer,308,USD,Reimbursed by work
19,2023-07-26,Shell,Transportation,#45b7a4,Everyday Checking,Debit Card,308,USD,Weekly groceries
37,2023-07-26,Uniqlo,Shopping,#e0647f,Everyday Checking,Cash,10060,USD,Date night
30,2023-07-27,Live Nation,Entertainment,#b07ce8,Everyday Checking,Debit Card,6250,USD,
33,2023-07-27,ConEdison,Utilities,#e0b64a,Sapphire Card,ACH Transfer,4851,USD,Renewal
11,2023-07-28,Levain Bakery,Food,#ed7940,Amex Platinum,ACH Transfer,11527,USD,Renewal
44,2023-07-28,CityMed Urgent Care,Healthcare,#58b86a,Sapphire Card,Debit Card,11941,USD,
45,2023-07-28,Airport Parking,Travel,#6f7bd6,Amex Platinum,ACH Transfer,3216,USD,
55,2023-08-01,Whole Foods Market,Food,#ed7940,Sapphire Card,Cash,5884,USD,Family visit
97,2023-08-01,Airport Parking,Travel,#6f7bd6,Everyday Checking,Debit Card,24435,USD,
98,2023-08-01,Hertz,Travel,#6f7bd6,Everyday Checking,Cash,7704,USD,Gift for Sam
51,2023-08-02,Whole Foods Market,Food,#ed7940,Sapphire Card,Credit Card,8077,USD,Split with Maya
60,2023-08-02,Whole Foods Market,Food,#ed7940,Amex Platinum,Credit Card,4062,USD,Reimbursed by work
79,2023-08-02,Steam,Entertainment,#b07ce8,Sapphire Card,Credit Card,3130,USD,Weekly groceries
99,2023-08-04,Delta Air Lines,Travel,#6f7bd6,Amex Platinum,Cash,49314,USD,Split with Maya
84,2023-08-05,City Water Board,Utilities,#e0b64a,Everyday Checking,Debit Card,5981,USD,Monthly subscription
86,2023-08-05,Amazon,Shopping,#e0647f,Everyday Checking,ACH Transfer,34571,USD,Weekly groceries
95,2023-08-06,Delta Air Lines,Travel,#6f7bd6,Everyday Checking,Debit Card,3435,USD,Weekly groceries
70,2023-08-07,Uber,Transportation,#45b7a4,Amex Platinum,ACH Transfer,3509,USD,Split payment
74,2023-08-07,Shell,Transportation,#45b7a4,Amex Platinum,Debit Card,1775,USD,Monthly subscription
93,2023-08-07,CVS Pharmacy,Healthcare,#58b86a,Sapphire Card,ACH Transfer,30680,USD,Monthly subscription
54,2023-08-09,Whole Foods Market,Food,#ed7940,Amex Platinum,Cash,14666,USD,Split payment
83,2023-08-09,Verizon Wireless,Utilities,#e0b64a,Everyday Checking,Debit Card,6153,USD,
61,2023-08-10,Seamless,Food,#ed7940,Sapphire Card,ACH Transfer,2215,USD,Split payment
69,2023-08-10,Shell,Transportation,#45b7a4,Sapphire Card,Credit Card,2025,USD,Reimbursed by work
82,2023-08-10,City Water Board,Utilities,#e0b64a,Everyday Checking,Credit Card,6255,USD,Split payment
